video_id,title,comment,cleaned_comment,sentiment_score,sentiment_label
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Sir please car for sale dobara,sir car sale dobara,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Techno bhai amenti 2part kab daloge,techno bhai amenti kab daloge,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,plzplzzzzzzzzzzzzzzzzzzzzzzzzzz,plzplzzzzzzzzzzzzzzzzzzzzzzzzzz,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Palworld ke video,palworld ke video,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part to,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Game name please,game,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,12:23  digi open,digi open,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Re play this game,play game,0.34,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for gta v 😢😢❤❤🟧🟧🟧😊👇,vote gta v,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,GTA kb ae ga ???😡🤬🤬🤬🤬🤬😡,gta kb ae ga,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part 2,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for part 2,vote,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part 2,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for this video's next part❤❤❤,vote video,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,❤,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,☺️☺️☺️☺️💓,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,plz part 2,plz,0.0772,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,"Game Name

DRIVE BEYOND HORIZONS ❌
Dusty Trip✅",game drive horizon dusty trip,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Patience level badiya h bhai aapka😮‍💨,patience level badiya h bhai aapka,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Like 😢😢😢😢😢😢,like,0.3612,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,plz part 2,plz,0.0772,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,** vote for next part **,vote,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Bhai this game is like a dusty trip in roblox,bhai game like dusty trip roblox,0.3612,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Video is two late,video late,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Kro,kro,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Bro apka turtle rehga😂❤,bro apka turtle rehga,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Love you soo much isika to intezar tha ❤❤🎉🎉,love soo isika intezar tha,0.6369,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote gta 6 like,vote gta like,0.3612,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,👼👼👼👼👼👼🇮🇳🤟🇮🇳🛕🙏,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part 2,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Tea is fantastic,tea fantastic,0.5574,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,"Kis kis ko ""Ethan winters"" yaad hai 💀🔥",kis kis ko ethan winters yaad hai,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part2,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for gta,vote gta,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Next,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for Gta 6 gameplay ❤ 0:26,vote gta gameplay,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Kaun-kaun new youtuber hai😢,kaunkaun new youtuber hai,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,part 2 techno bhaiya,techno bhaiya,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Pls Gta 5 and reach simulator ❤ big and old fan😊❤😢,pls gta reach simulator big old fan,0.4019,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Little Kitty Big City part 2,little kitty big city,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Bhai mujhe bhi kar ke game pasand hai Ujjwal bhai main aapka bahut bada fan hun,bhai mujhe bhi kar ke game pasand hai ujjwal bhai main aapka bahut bada fan hun,0.3182,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for creat new Minecraft smp for all YouTubers,vote creat new minecraft smp youtuber,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,2 part 🎉❤,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Pallworld please,pallworld,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,GTA ki video dalo techno Bhai,gta ki video dalo techno bhai,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for part 2,vote,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for part 2 🎉❤,vote,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Support me guyz😢,support guyz,0.4019,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Waiting for part 2😎,wait,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Mock drill time pe dekh rha hu ❤,mock drill time pe dekh rha hu,-0.4215,Negative
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,VOTE for Ice scream 8 ( The Final Chapter) ➡️♥️,vote ice scream final chapter,-0.4019,Negative
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part 2😅,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part 2❤❤❤,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Waiting for gta 6,wait gta,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Series start karoo bhai pleas🎉,series start karoo bhai plea,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,bhai iss series ko continue kro,bhai iss series ko continue kro,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,pate 2 plezzzzzz video ma lalo jan g plezzzzzzz biggg fann,pate plezzzzzz video ma lalo jan g plezzzzzzz biggg fann,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Continue plzzz techno Bhai plzzz start this series,continue plzzz techno bhai plzzz start series,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for part 2,vote,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,PC cricket 24 ya real cricket team 24 inmein se aap kaun sa game TRAI karke dekhiae,pc cricket ya real cricket team inmein se aap kaun sa game trai karke dekhiae,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Ujwal bhai call of  duty ka 4 part,ujwal bhai duty ka,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,आज देखते हैं कि हनुमान जी के लिए कितने लोग लाइक करते हैं🙏🙏🙏🙏🙏🙏,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Yes,yes,0.4019,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Next part,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,"All want this series continue 
Part2 we want. 
 also I am a car lover 😉",want series continue want car lover,0.6597,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part all video videos banio,video video banio,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Tecno bhai gamer ab rope Hero game khelo tecno mobile khelo rope Hero game,tecno bhai gamer ab rope hero game khelo tecno mobile khelo rope hero game,0.802,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Very Epic game Waiting for next part,epic game wait,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for face reveal 🎉🎉,vote face reveal,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for GTA 5,vote gta,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part 2,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part 2 🎉🎉,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,pls part 2,pls,0.0772,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,🎉🎉🎉 part = 2,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Jo jo chahte hain tecno bhai GTA v khele vah like Karen,jo jo chahte hain tecno bhai gta v khele vah like karen,0.3612,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Please play horizon chase zero game i am your big fan,play horizon chase zero game big fan,0.5719,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part 2,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for part 2 of this game☺️☺️,vote game,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for part 2 plessss,vote plessss,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,*Vote for Part 2 ❤*,vote,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Minecraft hardcore series kab aayegi? Vote for hardcore❤😊😊,minecraft hardcore series kab aayegi vote hardcore,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,horizon,horizon,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,part 2 plz bro,plz bro,0.0772,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for part 2,vote,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for part 2,vote,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Continue,continue,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Tea was fantastic,tea fantastic,0.5574,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for minecraft.😢,vote minecraft,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part 2,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Please next part car game🎉🎉🎉,car game,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Plzz bhai ot 2 😢🎉,plzz bhai ot,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part 2,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Hahahaha this game is copy of 'Dusty trip',hahahaha game copy dusty trip,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Vote for part 2,vote,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,part 2 please,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Yes bhiya please continued  this,yes bhiya continue,0.4019,Positive
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,43:45 unexpected 😂,unexpected,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,dusty trip,dusty trip,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Part to,,0.0,Neutral
8fkIXWhFi6U,BUILDING MY OWN CAR IN DESERT,Continue series ❤❤❤plllllllllzzzzzzzzzzzzzzzz,continue series plllllllllzzzzzzzzzzzzzzzz,0.0,Neutral
Ud6o69YjK4g,GENDER REVEAL VLOG 😍,Apki pheli family dekhi too ldki peda hone pr itna celebrate kr rahi hai....salute hai apki soch ko.. congratulations 🎉 it's a girl❤..Laxmi aa gayi,apki pheli family dekhi ldki peda hone pr itna celebrate kr rahi haisalute hai apki soch ko congratulations girllaxmi aa gayi,0.8225,Positive
Ud6o69YjK4g,GENDER REVEAL VLOG 😍,So happy for you guyss🥹❤️ finally janvi is here🥳🫶🏻,happy guyss finally janvi,0.5719,Positive
Ud6o69YjK4g,GENDER REVEAL VLOG 😍,Congratulations 🎉,congratulation,0.5994,Positive
Ud6o69YjK4g,GENDER REVEAL VLOG 😍,😊😊,,0.0,Neutral
Ud6o69YjK4g,GENDER REVEAL VLOG 😍,"Kl rha rha isilie bol rhe the kyunki rahi thi 😀, chlo god bless 💓",kl rha rha isilie bol rhe kyunki rahi thi chlo god bless,0.5994,Positive
